Theravāda,Theravāda,Theravāda,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Lokuttaravāda,Lokuttaravāda,Mahīśāsaka,Mahīśāsaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Kāśyapīya,Upāliparipṛcchā,Qizil,Bhikkhu Pātimokkha (unknown school)
Pali,Pali,Pali,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Chinese,Chinese,Prakrit,Prakrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Tibetan,Tibetan,Chinese,Sanskrit,Sanskrit,Prakrit
Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Śikṣamānā,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu
pli-tv-bi,pli-tv-bu,pli-tv-kd,lzh-mg-bi,lzh-mg-bu,san-mg-bi,san-mg-bu,san-lo-bi,san-lo-bu,lzh-mi-bi,lzh-mi-bu,lzh-dg-bi,lzh-dg-bu,pgd-dg-bi,pgd-dg-bu,lzh-sarv-bi,lzh-sarv-bu,san-sarv-bi,san-sarv-bu,san-sarv-sm,lzh-mu-bi,lzh-mu-bu,san-mu-bi,san-mu-bu,san-mu-kd,xct-mu-bi,xct-mu-bu,lzh-ka-bu,lzh-upp-bu,san-bu-pm,pgd-pm-bf13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm-pj1; vb-pj1,pm-pj1; vb-pj1,,pm-pj1; vb-pj1,pm-pj1; vb-pj1,,pm-pj1,vb-pj1,pm-pj1,pm-pj1; vb-pj1,pm-pj1; vb-pj1,pm-pj1; vb-pj1,pm-2-pj1; pm-pj1; vb-pj1,,,pm-pj1; vb-pj1,pm-2-pj1; pm-pj1; vb-pj1,,pm-finot-pj1; pm-tf11-pj1,,pm-pj1; vb-pj1,pm-pj1; vb-pj1,,pm-gbm3-pj1; pm-mpt-pj1,,pm-pj1; vb-pj1,pm-pj1; vb-pj1,pm-pj1,pj1,,
pm-pj2; vb-pj2,pm-pj2; vb-pj2,,pm-pj2; vb-pj2,pm-pj2; vb-pj2,,pm-pj2,vb-pj2,pm-pj2,pm-pj2; vb-pj2,pm-pj2; vb-pj2,pm-pj2; vb-pj2,pm-2-pj2; pm-pj2; vb-pj2,,,pm-pj2; vb-pj2,pm-2-pj2; pm-pj2; vb-pj2,,pm-finot-pj2; pm-tf11-pj2,,pm-pj2; vb-pj2,pm-pj2; vb-pj2,,pm-gbm2-pj2; pm-gbm3-pj2; pm-mpt-pj2,,pm-pj2; vb-pj2,pm-pj2; vb-pj2,pm-pj2,pj2,qizil-pj2,
pm-pj3; vb-pj3,pm-pj3; vb-pj3,,pm-pj3; vb-pj3,pm-pj3; vb-pj3,,pm-pj3,vb-pj3,pm-pj3,pm-pj3; vb-pj3,pm-pj3; vb-pj3,pm-pj3; vb-pj3,pm-2-pj3; pm-pj3; vb-pj3,,,pm-pj3; vb-pj3,pm-2-pj3; pm-pj3; vb-pj3,,pm-finot-pj3; pm-tf11-pj3,,pm-pj3; vb-pj3,pm-pj3; vb-pj3,,pm-gbm2-pj3; pm-gbm3-pj3; pm-mpt-pj3,,pm-pj3; vb-pj3,pm-pj3; vb-pj3,pm-pj3,pj3,,
pm-pj4; vb-pj4; pm-pc104~; vb-pc104~,pm-pj4; vb-pj4; pm-pc8~; vb-pc8~,,pm-pj4; vb-pj4; pm-pc7~; vb-pc7~,pm-pj4; vb-pj4; pm-pc7~; vb-pc7~,,pm-pj4; pm-pc7~,vb-pj4; vb-pc7~,pm-pj4; pm-pc7~,pm-pj4; vb-pj4; pm-pc8~; vb-pc8~,pm-pj4; vb-pj4; pm-pc8~; vb-pc8~,pm-pj4; vb-pj4; pm-pc8~; vb-pc8~,pm-2-pj4; pm-pj4; vb-pj4; pm-2-pc8~; pm-pc8~; vb-pc8~,,,pm-pj4; vb-pj4; pm-dh-pc7~; pm-pc6~; vb-pc6~,pm-2-pj4; pm-pj4; vb-pj4; pm-2-pc7~; pm-pc7~; vb-pc7~,pm-tf44-pc6~,pm-tf11-pj4; pm-finot-pc7~; pm-tf11-pc7~,,pm-pj4; vb-pj4; pm-pc8~; vb-pc8~,pm-pj4; vb-pj4; pm-pc7~; vb-pc7~,,pm-gbm2-pj4; pm-gbm3-pj4; pm-mpt-pj4; pm-gbm3-pc8~; pm-mpt-pc6~,,pm-pj4; vb-pj4; pm-pc8~; vb-pc8~,pm-pj4; vb-pj4; pm-pc7~; vb-pc7~,pm-pj4; pm-pc7~,pj4; pc7~,,
,pm-ss1; vb-ss1,,,pm-ss1; vb-ss1,,pm-ss1,,pm-ss1,,pm-ss1; vb-ss1,,pm-2-ss1; pm-ss1; vb-ss1,,,,pm-2-ss1; pm-ss1; vb-ss1,,pm-finot-ss1; pm-tf11-ss1,,,pm-ss1; vb-ss1,,pm-gbm2-ss1; pm-gbm3-ss1; pm-mpt-ss1,,,pm-ss1; vb-ss1,pm-ss1,ss1,,
