Theravāda,Theravāda,Theravāda,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Lokuttaravāda,Lokuttaravāda,Mahīśāsaka,Mahīśāsaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Kāśyapīya,Upāliparipṛcchā,Qizil,Bhikkhu Pātimokkha (unknown school)
Pali,Pali,Pali,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Chinese,Chinese,Prakrit,Prakrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Tibetan,Tibetan,Chinese,Sanskrit,Sanskrit,Prakrit
Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Śikṣamānā,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu
pli-tv-bi,pli-tv-bu,pli-tv-kd,lzh-mg-bi,lzh-mg-bu,san-mg-bi,san-mg-bu,san-lo-bi,san-lo-bu,lzh-mi-bi,lzh-mi-bu,lzh-dg-bi,lzh-dg-bu,pgd-dg-bi,pgd-dg-bu,lzh-sarv-bi,lzh-sarv-bu,san-sarv-bi,san-sarv-bu,san-sarv-sm,lzh-mu-bi,lzh-mu-bu,san-mu-bi,san-mu-bu,san-mu-kd,xct-mu-bi,xct-mu-bu,lzh-ka-bu,lzh-upp-bu,san-bu-pm,pgd-pm-bf13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm-pj8; vb-pj8,,,pm-pj6; vb-pj6,,,,vb-pj6,,pm-pj6; vb-pj6,,pm-pj6; vb-pj6,,,,pm-pj6; vb-pj6,,pm-tf44-pj6; pm-tf3215-pj6,,,pm-pj6; vb-pj6,,,,,pm-pj6; vb-pj6,,,,,
pm-pj6; vb-pj6,,,pm-pj7; vb-pj7,,,,vb-pj7,,pm-pj8; vb-pj8,,pm-pj7; vb-pj7,,,,pm-pj7; vb-pj7,,pm-tf44-pj7; pm-tf3215-pj7,,,pm-pj7; vb-pj7,,,,,pm-pj7; vb-pj7,,,,,
pm-pj7; vb-pj7,,,pm-pj8; vb-pj8,,,,vb-pj8,,pm-pj7; vb-pj7,,pm-pj8; vb-pj8,,,,pm-pj8; vb-pj8,,pm-tf44-pj8; pm-tf3215-pj8,,,pm-pj8; vb-pj8,,,,,pm-pj8; vb-pj8,,,,,
pm-ss7; vb-ss7,pm-ss5; vb-ss5,,pm-ss1; vb-ss1,pm-ss5; vb-ss5,,pm-ss5,vb-ss1,pm-ss5,pm-ss1; vb-ss1,pm-ss5; vb-ss5,pm-ss1; vb-ss1,pm-2-ss5; pm-ss5; vb-ss5,,,pm-ss1; vb-ss1,pm-2-ss5; pm-ss5; vb-ss5,pm-tf44-ss1; pm-tf3215-ss1,pm-finot-ss5; pm-tf11-ss5,,pm-ss1; vb-ss1,pm-ss5; vb-ss5,,pm-gbm2-ss5; pm-gbm3-ss5; pm-mpt-ss5,,pm-ss1; vb-ss1,pm-ss5; vb-ss5,pm-ss5,ss5,,
pm-ss8; vb-ss8,pm-ss8; vb-ss8,,pm-ss2; vb-ss2,pm-ss8; vb-ss8,,pm-ss8,vb-ss2,pm-ss8,pm-ss2; vb-ss2,pm-ss8; vb-ss8,pm-ss2; vb-ss2,pm-2-ss8; pm-ss8; vb-ss8,,,pm-ss2; vb-ss2,pm-2-ss8; pm-ss8; vb-ss8,pm-tf44-ss2; pm-tf3215-ss2,pm-finot-ss8; pm-tf11-ss8,,pm-ss2; vb-ss2,pm-ss8; vb-ss8,,pm-gbm2-ss8; pm-gbm3-ss8; pm-mpt-ss8,,pm-ss2; vb-ss2,pm-ss8; vb-ss8,pm-ss8,ss8,qizil-ss8,
